,original_index,context,labels,prompts,gold,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-003,q_chatgpt
213,2025,The pandemic is a plan organized by George Soros to reduce the size of the global population,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
214,1504,WHO and UN will give 1.7 crore as COVID relief fund,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,a,b,a,b
215,1544,(In response to a question about the proposed amendment to the Infectious Diseases Law to impose imprisonment on patients who refuse to be hospitalized) the National Governors' Association has also submitted an urgent proposal for the establishment of penalties.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,a,b,b,b,a,b,b,b
216,1500,Pfizer vaccine responsible for 23 deaths in Norway,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,a,a,a,b
217,1636,The first package of vaccines against COVID-19 that has arrived in Spain has the logo of a microchip company,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,a,a,b,b,b,b,a
218,2061,Vanuatu recognized the effectiveness of the Russian vaccine.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,a,b,b,b
219,1555,Coronavirus is man-made,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,a,a,b,a,a,a,a
220,120,Watch Fonda convince herself we are in a climate emergency in a debate with  herself. Are you convinced after watching this?,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,a,a,a,a,a,a,a,b
221,1533,Italian doctor convicted for killing some patients to open beds in ICU unit,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,b,a,a,b
222,1747,The end of total quarantine: the Cabinet of Ministers of Ukraine has just made a decision.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,b,b,b,b
223,1465,"Police have detained discredited US researcher Judy Mikovits for ""discovering evidence that deadly retroviruses are transmitted through vaccines"".",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
224,478,How significant is Biden's commitment to climate change?,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,b,a,b,b
225,1433,Half of the hospital staff in Zgierz were very sick after vaccination against COVID-19. Some people died.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,a,a,a,a
226,1875,Pope Francis has stated that one will not be allowed to enter paradise without having had the COVID-19 vaccination.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,a,a,a,b,b,b,a,a
227,2028,SARS-CoV-2 was made in chinese laboratory,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,a,a,b,a,a,a,a
228,1631,"French lab's research shows that COVID-19 is very resilient. 90C water can't kill it, nor the nanoneedle; the virus bounced back immediately once the needle was removed.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,a,b,a,b,a,b,a,b
229,1188,The drug called Ivermectin completely prevents the transmission of COVID-19,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,a,a,b,a,b,a,a
230,479,The Dr. Fauci of Climate': Activist Penn State Prof. Michael Mann promoted for Climate Czar in Biden Admin.  Climate lockdowns coming?!,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
231,1549,"Baseball legend Hank Aaron's ""tragic death is part of a wave of suspicious deaths among elderly closely following administration of COVID vaccines.""",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
232,1135,American nurse died after receiving vaccine against COVID-19,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,a,b,a,a,a,b
233,231,"Former aide to Gov. Andrew Cuomo accuses him of sexual harassment, toxic environment",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,b,a,b,b
234,1876,The only country to raise the price of gas and utilities during the pandemic is Ukraine.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,b,a,b
235,300,"Ten years ago we predicted how 2020 would turn out. From Boris as PM to the climate crisis, here's what we got right and wrong",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,b,b,b,a,a,b
236,228,Science Crushes Rolling Stone's Claimed Link Between COVID & Climate,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,b
237,6,"Janet Yellen says she'll use the Treasury Dept. to address racial inequality, ""gender disparities,"" and ""the climate crisis",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,b,a,b,b
238,1899,First Georgian has already received a chip implant and microchips are to be implanted to the entire humankind until 2025,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,a,a,b,b,b,a,a
239,1854,Italian MD Roberto Petrella's multiple claims about COVID-19 tests and vaccines,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,a,a,a
240,1403,Masks cause hypercapnia,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,b,b,a,a
241,1126,An Argentine Army nurse died after receiving the Sputnik vaccine,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,b
242,251,Climate crisis: Melting mountain ice reveals ancient artefacts in Norway,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,b,b,b,b
243,264,Swiss electorate to vote in referendum on corporate environmental and human rights responsibilities,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,b,a,b,b
244,1916,Viral text says that Wuhan biological laboratory is owned by Glaxo and Pfizer laboratories,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,a
245,1991,Mandatory wearing of masks does not help to stop COVID-19.,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,b,a,a,a,a
246,468,Best-selling skeptical book 'The Politically Incorrect Guide to Climate Change' ranks 14th in Book Authority's '100 Best Climate Change Books of All Time',Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,b,b,b,b,b,b,a,a,b
247,1404,Face mask use causes lung cancer,Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,a,b,b,a,a,a
248,481,"Eastern States Inching Toward New Regional Climate Pact That Could Cut Carbon Emissions, Raise Gas Prices",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,b,b,b,b,b,b,b,b
249,2088,"The 90-year-old British grandmother who became the first person in the world to receive the Pfizer-BioNTech Covid-19 vaccine outside of a clinical trial was previously pictured receiving the Covid-19 vaccine in a CNN news report in October 2020, at least two months before the UK vaccination drive started.",Misinformation,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,b,a,b,b,a,a,a
250,845,"Trudeau goes it alone with new climate plan, proposes carbon price hike",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,a,b,b
251,596,"Reaching UK net zero target cheaper than we thought, says climate adviser",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,a,b,b
252,630,"As 2020 Ends, It's Time for News Outlets to Declare a 'Climate Emergency'",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,a,b,b
253,1278,"Battle for Congress hinges on top of ticket, pandemic dynamics",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,a,b,b
254,1347,"ESPN's Kirk Herbstreit tests positive for COVID-19, will work College GameDay, Sugar Bowl from home",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,b,b,b
255,696,Biden and the Climate Crisis: Fighting for Net Zero,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,a,b,b
256,1050,Skull Fossil Shows How Human Cousin Adapted to Changing Climate,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,a,a,b,b
257,697,The Paris Agreement five years on: renewing calls for climate action,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,b,b,b
258,945,The Danish climate minister closing down the oil industry for good,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,a,b,a,b,a,b
259,1089,First ever US climate envoy warns Paris agreement 'is not enough',Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,b,b,b
260,502,Biden to tap Brenda Mallory to lead White House environment council -sources,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,a,b,b
261,822,Environment Agency faces questions over works on protected river,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,a,b,a,b,a,b
262,1373,Warnings on fines as England's new lockdown begins,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,a,b,b,b,b,a,b,b
263,748,Biden election sparks hope for meeting global climate targets,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,a,a,b,b
264,914,"With a Single Climate Initiative, Biden Could Generate $4 Trillion for Green Investment",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,b,b,b
265,1014,Climate change: UK aim of 68% emissions cut a 'colossal challenge',Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,b,b,b
266,520,"Biden Be Bold: AOC & Cori Bush Join Climate Protest Outside DNC Urging Activists to ""Bring the Heat""",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,a,b,b
267,2131,"Vaccine development software shows promise in influenza effort, could help defeat coronavirus",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,a,b,b,b
268,939,We Don't Have To Live This Way': Doctors Call For Climate Action,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,a,b,b
269,916,NC Appeals Judge Censured for 'Toxic Work Environment',Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,a,b,b,b,a,b,b,b
270,1254,Vaccine News From Britain and China Bolsters Push for Inoculations,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,a,b,b
271,566,"Faith and the fight against climate change, Part 4",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,a,b,b
272,1120,'The most significant climate legislation ever': How stimulus bill tackles warming planet,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,a,b,b,b
273,726,DeepMind unveils new details of game-mastering A.I. it says may help in complex real-world environments,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,a,b,b,b
274,1022,Why Australia's Climate Gains Can't Offset Their Expanding Gas Industry,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,a,a,b
275,616,389-day Arctic research mission brings urgent call for climate action,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,b,b,b
276,2129,Virologists develop broadly protective coronavirus vaccines,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,b,b,b
277,772,Joe Biden says 'no time to waste' as climate team unveiled,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,b,b,b
278,1104,Hurricane season 2020: Is global warming making hurricanes stronger?,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,a,a,a,b
279,1010,"Costs of climate change are soaring in Canada, yet still barely understood: report",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,a,b,b
280,833,Brazil off to bad start on Paris climate deal: watchdog,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,a,b,a,b,b,a,a,b
281,834,"Fight Climate Change Like We Battle COVID-19, Says Paris Accord's Chief Negotiator",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,a,b,b
282,983,Environmental value of renewable energy varies from place to place,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,a,a,a,b
283,800,"Vaccines, tech, and climate: Europe pitches a new partnership to President-elect Biden",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,a,b,b
284,891,Biden's Next Climate Chief Will Tackle 'Existential Threat' At Home,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,a,b,b
285,848,"American Housewife Co-Star Carly Hughes Calls It Quits, Citing a 'Toxic Environment'",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,a,b,b,b,b,b,b,b
286,519,Biden will rejoin the Paris Climate Accord. Here's what happens next,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,a,b,b
287,713,Wisconsin's Original Renewables Roll With Climate Change,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,a,b,b,b
288,1339,Dr. Drew Pinsky tests positive for COVID-19 months after apologizing for downplaying the virus,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,a,b,a,b,b,a,a,a
289,771,"NC's Regan, top EPA pick, promises environmental policy that serves 'every person'",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,a,b,b,b
290,870,Biden Team Close to Announcing Picks for Core Climate and Energy Jobs,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,a,b,b
291,704,"Pick up the pace on combating climate change, Bank of Canada governor says",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,b,b,b
292,634,Lake ice destabilized by climate change linked to increase in youth drownings,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,a,b,b,b
293,932,The most significant climate legislation ever': How stimulus bill tackles warming planet,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,a,b,b,b
294,672,Global summit to present 'ambitious' climate change goals,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,a,b,b
295,1353,"Budget process, COVID-19 spending being undermined by OMB, Biden transition says",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,a,a,b,b,b,a,a,b
296,716,"Trudeau to tout climate and trade at Asia-Pacific summit where China, U.S. dominate",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,b,b,b
297,1251,"Election 2020 live updates: Joe Biden wins Wisconsin, Michigan as Trump files lawsuits in three states",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,a,b,b
298,887,How a new type of glove can reduce environmental damage,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,a,b,a,b
299,532,"Paris climate deal 'designed to kill US economy', Trump claims",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,a,a,a,b,b,a,a,a
300,636,Top court gives France three months to show climate efforts,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,a,b,b,b
301,674,How Biden Could Use the Presidential Bully Pulpit to Drive Climate Action,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,b,b,b,b,a,b,b
302,774,Longtime Head of EPA's Environmental Justice Program: Biden's Climate Picks Show Power of Movements,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,b,b,b,b,b,b,b
303,1314,When 'the American Way' Met the Coronavirus,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,a,b,b,b,b,a,a,b
304,627,California's 'climate damn emergency' can't be ignored,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,a,b,b,b,a,a,a,b
305,521,The Drilldown: Opposition disappointed with government's climate legislation,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,a,b,b
306,901,First drone goes flying to the North Pole on a climate mission,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,a,b,a,b
307,816,Climate change: Welsh green energy hindered by 'strained' grid capacity,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,a,b,a,b
308,977,"If the World Is Ending, It's Not Because of Climate Change",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,a,a,a,b
309,980,"Even under Trump, America did a better job at tackling the climate emergency than Canada did, says Green Party Leader Annamie Paul",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,a,a,a,b
310,1264,U.S. confirms first case of new COVID-19 strain found in the U.K.,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,b,b,b
311,755,Biden Has Oportunity To Take on Worsening Climate Crisis,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,a,b,b
312,1056,Here's How Scientists Want Biden to Take on Climate Change,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,a,b,b
313,660,"CO2 pricing, transfers may pay large dividends in the fight to curb climate change",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,b,b,b
314,946,"Climate Change Threatens Not Just the Environment, But the U.S Financial System",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,a,a,a,b
315,1263,California sets new record for COVID-19 deaths,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,a,a,b,b
316,546,Carbon Capture Is Not a Climate Savior,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,a,b,b,b,a,a,b
317,1295,NC Gov. Cooper holds press conference to give COVID-19 update. Here's how to watch.,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,b,b,b,b
318,928,Highgate Cemetery wants help to save site from climate change impact,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,a,b,b,b
319,632,UK ban on new fossil fuel vehicles by 2030 'not enough' to hit climate targets,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,a,b,b,a,a,b
320,646,How Biden's Climate Plans Will Shake Up Global Energy Markets,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,b,b,b
321,997,"Neal eyes massive coronavirus relief, climate and infrastructure package",Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,b,b,a,a,b,b
322,1274,Govt says new English lockdown could last longer than month,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,a,a,a,b
323,770,Auditor general issues scathing rebuke of Ford government's environmental policies,Trustworthy,"
    
Which of the following describes the above news headline?
A: Misinformation
B: Trustworthy

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,b,b,b,a,a,b
